id,title,url,publisher,scope,notes,accessed
HYUNDAI_BAYON_UK_TECH,Hyundai Bayon 1.0 T-GDi 90 PS 7DCT — dane techniczne,https://www.hyundai.news/uk/articles/press-releases/bayon-trims-specs-pricing-1225.html,Hyundai,Hyundai:official-current-model-uk,"Pełne dane 90 PS 7DCT, ale homologacja/rynek UK; używać jako model-level, nie exact PL offer.",2026-08-17
HYUNDAI_INSTER_PRESS,Hyundai Inster — oficjalne dane techniczne,https://www.hyundai.news/pl/articles/informacje-prasowe/inster-kompaktowy-rozmiar.html,Hyundai,Hyundai:official-press-pl,"Wymiary, osiągi, zasięg i ładowanie.",2026-08-17
HYUNDAI_INSTER_DESIGN,Hyundai Inster — design i przestrzeń,https://www.hyundai.com/pl/pl/modele/inster/design.html,Hyundai,Hyundai:official-current-model-pl,Aktualne informacje o bagażniku i funkcjonalności.,2026-08-17
SKODA_FABIA_MODEL,Škoda Fabia — oficjalna strona modelu,https://www.skoda.pl/swiat-skody/fabia,Skoda,Skoda:official-current-model-pl,Opis modelu i dostęp do bieżącego cennika.,2026-08-17
SKODA_FABIA_ENGINE,Škoda Fabia 115 DSG — dane układu napędowego,https://www.skoda.pl/modele/fabia/fabia-monte-carlo,Skoda,Skoda:official-current-model-pl,Dane gamy 1.0 TSI 115 DSG; dossier opiera wartości exact na załączonej konfiguracji.,2026-08-17
SKODA_FABIA_MEDIA,Škoda Fabia IV — oficjalne zdjęcie prasowe,https://www.skoda-storyboard.com/cs/skoda-svet-cs/felicia-a-fabia-slavi-jubilea/attachment/4-generace-07_skoda_fabia_ml_graphite_grey_918733f4/,Skoda,Skoda:official-media-gallery,Zdjęcie poglądowe; inny kolor i możliwe wyposażenie.,2026-08-17
SKODA_KAMIQ_MODEL,Škoda Kamiq — oficjalna strona modelu,https://www.skoda.pl/modele/kamiq/kamiq,Skoda,Skoda:official-current-model-pl,Aktualne informacje modelowe.,2026-08-17
SKODA_KAMIQ_ENGINE,Škoda Kamiq — porównywarka silników,https://www.skoda.pl/modele/kamiq/kamiq/nowa-skoda-kamiq-porownywarka-silnikow,Skoda,Skoda:official-current-model-pl,Dane jednostek napędowych.,2026-08-17
SKODA_KAMIQ_MEDIA,Škoda Kamiq — oficjalne zdjęcie prasowe,https://www.skoda-storyboard.com/?attachment_id=354007,Skoda,Skoda:official-media-gallery,Zdjęcie poglądowe.,2026-08-17
TOYOTA_YARIS_2026,Toyota Yaris rok modelowy 2026 — wyposażenie i ceny,https://www.toyota.pl/swiat-toyoty/nowosci/toyota-yaris-z-roku-modelowego-2026-zyskuje-nowe-lakiery-odswiezone-wnetrze-i-bogatsze-wyposazenie,Toyota,Toyota:official-current-model-pl,"Zmiany MY2026, wyposażenie Style i cena katalogowa.",2026-08-17
TOYOTA_YARIS_CONFIG,Toyota Yaris — konfigurator,https://www.toyota.pl/nowe-samochody/nowy-yaris/konfigurator,Toyota,Toyota:official-current-configurator-pl,"Wymiary, parametry napędu i dostępność lakieru Forest Green.",2026-08-17
TOYOTA_YARIS_MODEL,Toyota Yaris — oficjalna strona modelu,https://www.toyota.pl/nowe-samochody/yaris,Toyota,Toyota:official-current-model-pl,Zakres WLTP i osiągi wersji 116 KM.,2026-08-17
TOYOTA_YARIS_BOOT_286,"Toyota Yaris — oferta specjalna, bagażnik 286 l",https://www.toyota.pl/swiat-toyoty/nowosci/toyota-yaris-z-2025-roku-produkcji-w-ofercie-specjalnej,Toyota,Toyota:official-marketing-pl,Jedna z oficjalnych publikacji podaje 286 l.,2026-08-17
TOYOTA_YARIS_BOOT_296,"Toyota Yaris — materiał flotowy, bagażnik 296 l",https://www.toyota.pl/swiat-toyoty/nowosci/100-hybrydowych-yarisow-dolaczylo-do-floty-uniqa,Toyota,Toyota:official-marketing-pl,Inna oficjalna publikacja podaje 296 l; rozbieżność zachowana.,2026-08-17
TOYOTA_WARRANTY,Toyota — gwarancja akumulatora do 10 lat / 1 000 000 km,https://www.toyota.pl/swiat-toyoty/nowosci/spokoj-uzytkowania-przez-dlugie-lata-gwarancja-do-10-lat-lub-1-000-000-km-na-akumulatory-modeli-hybrydowych-i-elektrycznych-toyoty,Toyota,Toyota:official-warranty-pl,Warunkowy program Battery Care.,2026-08-17
TOYOTA_RELAX,Toyota Relax — warunki dodatkowej ochrony,https://www.toyota.pl/serwis-i-akcesoria/gwarancja-toyota-relax,Toyota,Toyota:official-warranty-pl,Warunkowe odnawianie ochrony do limitu programu.,2026-08-17
TOYOTA_MEDIA,Toyota Yaris — oficjalne zdjęcie prasowe,https://newsroom.toyota.eu/asset/20032c9c-e184-4a4c-9a43-a234dbd3a4d3/2024-yaris-dpl-ext-combo-high0010,Toyota,Toyota:official-media-gallery,"Zdjęcie poglądowe, nie Forest Green i nie gwarancja wersji Style.",2026-08-17
